domain,algorithm,depth,trial,seed,node_expansions,path_length,solved,solved_agents,total_agents,runtime_ms
MAPF,PrioritisedPlanning,10,6,3006,108,43,true,3,3,0
MAPF,PrioritisedPlanning,10,7,3007,109,43,true,3,3,0
MAPF,PrioritisedPlanning,10,8,3008,111,43,true,3,3,0
MAPF,PrioritisedPlanning,10,9,3009,93,43,true,3,3,0
MAPF,PrioritisedPlanning,10,10,3010,101,43,true,3,3,0
MAPF,PrioritisedPlanning,10,11,3011,108,43,true,3,3,0
MAPF,PrioritisedPlanning,10,12,3012,110,43,true,3,3,0
MAPF,PrioritisedPlanning,10,13,3013,113,43,true,3,3,0
MAPF,PrioritisedPlanning,10,14,3014,258,29,false,2,3,0
MAPF,PrioritisedPlanning,10,15,3015,196,28,false,2,3,0
MAPF,PrioritisedPlanning,10,16,3016,126,43,true,3,3,0
MAPF,PrioritisedPlanning,10,17,3017,105,43,true,3,3,0
MAPF,PrioritisedPlanning,10,18,3018,112,43,true,3,3,0
MAPF,PrioritisedPlanning,10,19,3019,102,43,true,3,3,0
MAPF,PrioritisedPlanning,10,20,3020,104,43,true,3,3,0
MAPF,PrioritisedPlanning,10,21,3021,112,43,true,3,3,0
MAPF,PrioritisedPlanning,10,22,3022,110,43,true,3,3,0
MAPF,PrioritisedPlanning,10,23,3023,120,43,true,3,3,0
MAPF,PrioritisedPlanning,10,24,3024,111,43,true,3,3,0
MAPF,PrioritisedPlanning,10,25,3025,177,47,true,3,3,0
MAPF,PrioritisedPlanning,10,26,3026,114,43,true,3,3,0
MAPF,PrioritisedPlanning,10,27,3027,149,45,true,3,3,0
MAPF,PrioritisedPlanning,10,28,3028,122,43,true,3,3,0
MAPF,PrioritisedPlanning,10,29,3029,113,43,true,3,3,0
MAPF,PrioritisedPlanning,10,30,3030,114,43,true,3,3,0
MAPF,PrioritisedPlanning,12,1,3601,194,70,true,4,4,0
MAPF,PrioritisedPlanning,12,2,3602,190,70,true,4,4,0
MAPF,PrioritisedPlanning,12,3,3603,193,70,true,4,4,0
MAPF,PrioritisedPlanning,12,4,3604,195,70,true,4,4,0
MAPF,PrioritisedPlanning,12,5,3605,218,70,true,4,4,0
MAPF,PrioritisedPlanning,12,6,3606,205,70,true,4,4,0
MAPF,PrioritisedPlanning,12,7,3607,197,70,true,4,4,0
MAPF,PrioritisedPlanning,12,8,3608,213,70,true,4,4,0
MAPF,PrioritisedPlanning,12,9,3609,242,70,true,4,4,0
MAPF,PrioritisedPlanning,12,10,3610,186,70,true,4,4,0
MAPF,PrioritisedPlanning,12,11,3611,186,70,true,4,4,0
MAPF,PrioritisedPlanning,12,12,3612,202,70,true,4,4,0
MAPF,PrioritisedPlanning,12,13,3613,182,70,true,4,4,0
MAPF,PrioritisedPlanning,12,14,3614,208,70,true,4,4,0
MAPF,PrioritisedPlanning,12,15,3615,197,70,true,4,4,0
MAPF,PrioritisedPlanning,12,16,3616,213,70,true,4,4,0
MAPF,PrioritisedPlanning,12,17,3617,339,72,true,4,4,0
MAPF,PrioritisedPlanning,12,18,3618,195,70,true,4,4,0
MAPF,PrioritisedPlanning,12,19,3619,206,70,true,4,4,0
MAPF,PrioritisedPlanning,12,20,3620,236,70,true,4,4,0
MAPF,PrioritisedPlanning,12,21,3621,216,70,true,4,4,0
MAPF,PrioritisedPlanning,12,22,3622,208,70,true,4,4,0
MAPF,PrioritisedPlanning,12,23,3623,188,70,true,4,4,0
MAPF,PrioritisedPlanning,12,24,3624,219,70,true,4,4,0
MAPF,PrioritisedPlanning,12,25,3625,189,70,true,4,4,0
MAPF,PrioritisedPlanning,12,26,3626,210,70,true,4,4,0
MAPF,PrioritisedPlanning,12,27,3627,174,70,true,4,4,0
MAPF,PrioritisedPlanning,12,28,3628,226,53,false,3,4,0
MAPF,PrioritisedPlanning,12,29,3629,187,70,true,4,4,0
MAPF,PrioritisedPlanning,12,30,3630,314,72,true,4,4,0
